Team,Player,Position,Contract Value,Contract Length,Dropped
Colorado Pony Hospital,Drew Brees,QB,6,1,false
Colorado Pony Hospital,Marcus Mariota,QB,5,4,false
Colorado Pony Hospital,Blake Bortles,QB,3,4,false
Colorado Pony Hospital,Jay Ajayi,RB,25,2,false
Colorado Pony Hospital,Leonard Fournette,RB,20,4,false
Colorado Pony Hospital,Thomas Rawls,RB,9,2,true
Colorado Pony Hospital,Melvin Gordon,RB,16,2,false
Colorado Pony Hospital,Doug Martin,RB,8,1,false
Colorado Pony Hospital,Tevin Coleman,RB,5,2,false
Colorado Pony Hospital,Matt Jones,RB,4,1,true
Colorado Pony Hospital,Jamaal Charles,RB,3,1,false
Colorado Pony Hospital,Giovani Bernard,RB,2,2,true
Colorado Pony Hospital,David Cobb,RB,2,2,true
Colorado Pony Hospital,Davante Adams,WR,12,3,false
Colorado Pony Hospital,Terrelle Pryor Sr.,WR,10,2,false
Colorado Pony Hospital,Demaryius Thomas,WR,10,1,false
Colorado Pony Hospital,Jordy Nelson,WR,9,2,false
Colorado Pony Hospital,Randall Cobb,WR,9,1,false
Colorado Pony Hospital,Corey Davis,WR,5,4,false
Colorado Pony Hospital,Eric Decker,WR,7,1,true
Colorado Pony Hospital,Kevin White,WR,3,2,true
Colorado Pony Hospital,Allen Robinson,WR,3,1,true
Colorado Pony Hospital,John Brown,WR,3,1,true
Colorado Pony Hospital,Michael Thomas,WR,1,2,false
Colorado Pony Hospital,Josh Gordon,WR,1,1,false
Colorado Pony Hospital,Hunter Henry,TE,4,2,false
Colorado Pony Hospital,Delanie Walker,TE,4,1,false
Colorado Pony Hospital,O.J. Howard,TE,1,5,false
Colorado Pony Hospital,Eric Ebron,TE,1,1,true
Dillon Panthers,Aaron Rodgers,QB,12,3,false
Dillon Panthers,Le'Veon Bell,RB,59,3,false
Dillon Panthers,Jamaal Charles,RB,59,1,true
Dillon Panthers,Adrian Peterson,RB,4,1,false
Dillon Panthers,Darren McFadden,RB,4,1,false
Dillon Panthers,Dion Lewis,RB,3,2,false
Dillon Panthers,Frank Gore,RB,3,1,false
Dillon Panthers,Mike Gillislee,RB,2,2,false
Dillon Panthers,Denard Robinson,RB,1,1,true
Dillon Panthers,Paul Perkins,RB,1,2,false
Dillon Panthers,Cameron Artis-Payne,RB,1,1,false
Dillon Panthers,Julian Edelman,WR,17,2,true
Dillon Panthers,Brandin Cooks,WR,15,3,false
Dillon Panthers,Nelson Agholor,WR,4,2,false
Dillon Panthers,Sammy Watkins,WR,4,2,false
Dillon Panthers,Sterling Shepherd,WR,3,4,false
Dillon Panthers,John Ross,WR,2,4,false
Dillon Panthers,DeSean Jackson,WR,2,2,false
Dillon Panthers,Larry Fitzgerald,WR,2,1,false
Dillon Panthers,Chris Hogan,WR,2,1,false
Dillon Panthers,Markus Wheaton,WR,1,2,false
Dillon Panthers,Greg Olsen,TE,5,2,false
Dillon Panthers,Coby Fleener,TE,2,3,false
Dillon Panthers,Gary Barnidge,TE,2,2,true
Dillon Panthers,Richard Rodgers,TE,1,1,true
Dynasty Warriors III,Andrew Luck,QB,36,3,false
Dynasty Warriors III,Carson Palmer,QB,1,1,false
Dynasty Warriors III,Jordan Howard,RB,23,2,false
Dynasty Warriors III,Ameer Abdullah,RB,12,3,false
Dynasty Warriors III,Isaiah Crowell,RB,12,1,false
Dynasty Warriors III,Robert Kelley,RB,3,2,false
Dynasty Warriors III,Jonathan Stewart,RB,2,1,false
Dynasty Warriors III,Jacquizz Rodgers,RB,1,2,false
Dynasty Warriors III,Dez Bryant,WR,49,1,false
Dynasty Warriors III,Odell Beckham Jr.,WR,40,1,false
Dynasty Warriors III,Michael Floyd,WR,3,4,false
Dynasty Warriors III,Tavon Austin,WR,2,1,false
Dynasty Warriors III,Kendall Wright,WR,1,1,true
Dynasty Warriors III,Kevin White,WR,1,5,false
Dynasty Warriors III,Laquon Treadwell,WR,1,4,false
Dynasty Warriors III,Adam Thielen,WR,1,2,false
Dynasty Warriors III,Tyler Lockett,WR,1,2,false
Dynasty Warriors III,Danny Amendola,WR,1,1,false
Dynasty Warriors III,Tyrell Williams,WR,1,1,false
Dynasty Warriors III,Jimmy Graham,TE,5,2,false
Jamaal About That Base,Tom Brady,QB,10,1,false
Jamaal About That Base,Eli Manning,QB,1,2,false
Jamaal About That Base,Eddie Lacy,RB,51,3,true
Jamaal About That Base,Alfred Morris,RB,14,1,true
Jamaal About That Base,Ty Montgomery,RB,12,1,false
Jamaal About That Base,Joe Mixon,RB,9,4,false
Jamaal About That Base,Eddie Lacy,RB,7,1,true
Jamaal About That Base,Andre Ellington,RB,3,1,false
Jamaal About That Base,Kerwynn Williams,RB,3,1,false
Jamaal About That Base,Chris Carson,RB,3,1,false
Jamaal About That Base,Alfred Blue,RB,1,1,true
Jamaal About That Base,Andre Williams,RB,1,3,true
Jamaal About That Base,Matt Forte,RB,1,1,false
Jamaal About That Base,Giovani Bernard,RB,1,1,false
Jamaal About That Base,Randall Cobb,WR,35,3,true
Jamaal About That Base,T.Y. Hilton,WR,29,1,false
Jamaal About That Base,Doug Baldwin,WR,13,1,false
Jamaal About That Base,Golden Tate,WR,6,3,false
Jamaal About That Base,Jeremy Maclin,WR,3,1,false
Jamaal About That Base,Michael Crabtree,WR,2,2,false
Jamaal About That Base,Kenny Britt,WR,2,1,false
Jamaal About That Base,Tyler Boyd,WR,1,3,false
Jamaal About That Base,Marvin Jones,WR,1,1,false
Jamaal About That Base,Rob Gronkowski,TE,41,3,false
Jamaal About That Base,Kyle Rudolph,TE,1,1,false
LOL Boys,Matthew Stafford,QB,3,2,false
LOL Boys,Philip Rivers,QB,2,1,false
LOL Boys,Jameis Winston,QB,1,2,false
LOL Boys,David Johnson,RB,58,2,false
LOL Boys,Carlos Hyde,RB,7,2,false
LOL Boys,Bilal Powell,RB,5,2,false
LOL Boys,Tarik Cohen,RB,4,1,false
LOL Boys,Javorius Allen,RB,3,1,false
LOL Boys,Jamaal Williams,RB,2,2,false
LOL Boys,C.J. Prosise,RB,1,2,true
LOL Boys,Theo Riddick,RB,1,1,false
LOL Boys,Antonio Brown,WR,49,2,false
LOL Boys,Alshon Jeffery,WR,26,2,false
LOL Boys,Jarvis Landry,WR,6,1,false
LOL Boys,Josh Gordon,WR,3,1,true
LOL Boys,Dorial Green-Beckham,WR,2,1,true
LOL Boys,Kelvin Benjamin,WR,1,3,false
LOL Boys,Tajae Sharpe,WR,1,3,true
LOL Boys,Josh Doctson,WR,1,3,false
LOL Boys,Corey Coleman,WR,1,3,false
LOL Boys,Kenny Golladay,WR,1,2,false
LOL Boys,Jordan Reed,TE,11,1,false
LOL Boys,Travis Kelce,TE,8,2,false
London Lizards,Dak Prescott,QB,4,2,false
London Lizards,Cam Newton,QB,2,3,false
London Lizards,Kirk Cousins,QB,2,2,false
London Lizards,DeMarco Murray,RB,31,1,false
London Lizards,LeSean McCoy,RB,28,2,false
London Lizards,Devonta Freeman,RB,25,4,false
London Lizards,Mark Ingram,RB,20,2,false
London Lizards,C.J. Anderson,RB,14,3,false
London Lizards,Joseph Randle,RB,6,2,true
London Lizards,Derrick Henry,RB,5,4,false
London Lizards,Chris Ivory,RB,4,1,false
London Lizards,DeAndre Hopkins,WR,23,2,false
London Lizards,Keenan Allen,WR,13,1,false
London Lizards,DeVante Parker,WR,4,1,false
London Lizards,Brandon Marshall,WR,4,1,false
London Lizards,Stefon Diggs,WR,3,3,false
London Lizards,John Brown,WR,2,2,false
London Lizards,Willie Snead,WR,1,3,false
London Lizards,Ted Ginn Jr.,WR,1,1,false
London Lizards,Zach Ertz,TE,1,3,false
London Lizards,Jason Witten,TE,1,2,false
Oxford White Sharks,Ryan Tannehill,QB,3,1,true
Oxford White Sharks,Sam Bradford,QB,1,1,true
Oxford White Sharks,Matt Ryan,QB,6,2,false
Oxford White Sharks,Ben Roethlisberger,QB,1,1,false
Oxford White Sharks,Ezekiel Elliott,RB,37,3,false
Oxford White Sharks,Todd Gurley,RB,30,2,false
Oxford White Sharks,Christian McCaffrey,RB,17,4,false
Oxford White Sharks,Lamar Miller,RB,16,1,false
Oxford White Sharks,LeGarrette Blount,RB,2,2,false
Oxford White Sharks,Terrance West,RB,2,1,false
Oxford White Sharks,Devontae Booker,RB,1,2,true
Oxford White Sharks,Jerick McKinnon,RB,1,1,false
Oxford White Sharks,Spencer Ware,RB,1,1,true
Oxford White Sharks,Rex Burkhead,RB,1,1,false
Oxford White Sharks,Julio Jones,WR,35,2,false
Oxford White Sharks,A.J. Green,WR,20,2,false
Oxford White Sharks,Amari Cooper,WR,11,3,false
Oxford White Sharks,Donte Moncrief,WR,5,1,false
Oxford White Sharks,Martavis Bryant,WR,4,3,false
Oxford White Sharks,Jaelen Strong,WR,1,2,true
Oxford White Sharks,Eric Decker,WR,3,1,false
Oxford White Sharks,Pierre Garcon,WR,2,1,false
Oxford White Sharks,Rishard Matthews,WR,1,2,false
Oxford White Sharks,Tyler Eifert,TE,1,1,false
Oxford White Sharks,Eric Ebron,TE,1,1,false
Team HGH,Russell Wilson,QB,20,3,false
Team HGH,Derek Carr,QB,10,2,false
Team HGH,Teddy Bridgewater,QB,2,1,true
Team HGH,Adrian Peterson,RB,48,1,true
Team HGH,Jeremy Hill,RB,33,2,false
Team HGH,Kareem Hunt,RB,14,5,false
Team HGH,Dalvin Cook,RB,13,4,false
Team HGH,Marshawn Lynch,RB,11,1,false
Team HGH,Thomas Rawls,RB,3,2,false
Team HGH,Samaje Perine,RB,1,3,false
Team HGH,Mike Evans,WR,28,2,false
Team HGH,Jordan Matthews,WR,9,2,false
Team HGH,Tyreek Hill,WR,8,3,false
Team HGH,Emmanuel Sanders,WR,5,2,false
Team HGH,Jamison Crowder,WR,5,1,false
Team HGH,Allen Hurns,WR,3,2,false
Team HGH,Cooper Kupp,WR,2,3,false
Team HGH,Devin Funchess,WR,2,1,false
Team HGH,Zay Jones,WR,1,3,false
Team HGH,Philip Dorsett,WR,1,1,false
Team HGH,Martellus Bennett,TE,5,1,false
Team HGH,Evan Engram,TE,1,2,false
